,source_model,source_model_file,target_model,target_model_file,batch_index,layer_index,layer_name,fool_method,with_ILA,fool_rate,acc_after_attack,original_acc
30,ResNet18,checkpoints/googlenet_epoch_227_acc_94.86.pth,GoogLeNet,checkpoints/resnet18_epoch_347_acc_94.77.pth,0,6.0,linear,momentum_ifgsm,True,100.0,0.0,100.0
31,ResNet18,checkpoints/senet18_epoch_279_acc_94.59.pth,SENet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,0,6.0,linear,momentum_ifgsm,True,100.0,0.0,100.0
32,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,1,,,momentum_ifgsm,False,100.0,0.0,100.0
33,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,DenseNet121,checkpoints/densenet121_epoch_315_acc_95.61.pth,1,,,momentum_ifgsm,False,100.0,0.0,100.0
34,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,GoogLeNet,checkpoints/googlenet_epoch_227_acc_94.86.pth,1,,,momentum_ifgsm,False,0.0,100.0,100.0
35,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,SENet18,checkpoints/senet18_epoch_279_acc_94.59.pth,1,,,momentum_ifgsm,False,100.0,0.0,100.0
36,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,1,0.0,conv1,momentum_ifgsm,True,100.0,0.0,100.0
37,ResNet18,checkpoints/densenet121_epoch_315_acc_95.61.pth,DenseNet121,checkpoints/resnet18_epoch_347_acc_94.77.pth,1,0.0,conv1,momentum_ifgsm,True,100.0,0.0,100.0
38,ResNet18,checkpoints/googlenet_epoch_227_acc_94.86.pth,GoogLeNet,checkpoints/resnet18_epoch_347_acc_94.77.pth,1,0.0,conv1,momentum_ifgsm,True,100.0,0.0,100.0
39,ResNet18,checkpoints/senet18_epoch_279_acc_94.59.pth,SENet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,1,0.0,conv1,momentum_ifgsm,True,100.0,0.0,100.0
40,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,1,1.0,bn1,momentum_ifgsm,True,100.0,0.0,100.0
41,ResNet18,checkpoints/densenet121_epoch_315_acc_95.61.pth,DenseNet121,checkpoints/resnet18_epoch_347_acc_94.77.pth,1,1.0,bn1,momentum_ifgsm,True,100.0,0.0,100.0
42,ResNet18,checkpoints/googlenet_epoch_227_acc_94.86.pth,GoogLeNet,checkpoints/resnet18_epoch_347_acc_94.77.pth,1,1.0,bn1,momentum_ifgsm,True,100.0,0.0,100.0
43,ResNet18,checkpoints/senet18_epoch_279_acc_94.59.pth,SENet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,1,1.0,bn1,momentum_ifgsm,True,100.0,0.0,100.0
44,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,1,2.0,layer1,momentum_ifgsm,True,100.0,0.0,100.0
45,ResNet18,checkpoints/densenet121_epoch_315_acc_95.61.pth,DenseNet121,checkpoints/resnet18_epoch_347_acc_94.77.pth,1,2.0,layer1,momentum_ifgsm,True,100.0,0.0,100.0
46,ResNet18,checkpoints/googlenet_epoch_227_acc_94.86.pth,GoogLeNet,checkpoints/resnet18_epoch_347_acc_94.77.pth,1,2.0,layer1,momentum_ifgsm,True,100.0,0.0,100.0
47,ResNet18,checkpoints/senet18_epoch_279_acc_94.59.pth,SENet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,1,2.0,layer1,momentum_ifgsm,True,100.0,0.0,100.0
48,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,1,3.0,layer2,momentum_ifgsm,True,100.0,0.0,100.0
49,ResNet18,checkpoints/densenet121_epoch_315_acc_95.61.pth,DenseNet121,checkpoints/resnet18_epoch_347_acc_94.77.pth,1,3.0,layer2,momentum_ifgsm,True,100.0,0.0,100.0
50,ResNet18,checkpoints/googlenet_epoch_227_acc_94.86.pth,GoogLeNet,checkpoints/resnet18_epoch_347_acc_94.77.pth,1,3.0,layer2,momentum_ifgsm,True,100.0,0.0,100.0
51,ResNet18,checkpoints/senet18_epoch_279_acc_94.59.pth,SENet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,1,3.0,layer2,momentum_ifgsm,True,100.0,0.0,100.0
52,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,1,4.0,layer3,momentum_ifgsm,True,100.0,0.0,100.0
53,ResNet18,checkpoints/densenet121_epoch_315_acc_95.61.pth,DenseNet121,checkpoints/resnet18_epoch_347_acc_94.77.pth,1,4.0,layer3,momentum_ifgsm,True,100.0,0.0,100.0
